Number of planted biclusters: 2
Bicluster coverage: 50.0%
Missing values on dataset: 0.0%
Noise values on dataset: 0.0%
Errors on dataset: 0.0%


Bicluster #0 (50, 50)
Rows=[0,2,3,6,7,9,10,16,17,20,22,24,25,27,28,29,30,33,38,39,40,42,45,46,52,53,54,55,56,57,58,64,66,69,70,74,75,77,78,79,80,82,83,87,88,90,91,94,95,98], Columns=[0,1,3,4,6,10,11,14,15,17,20,21,22,25,27,29,30,32,38,39,42,43,46,47,48,50,52,54,55,56,57,59,60,61,62,63,65,69,75,78,84,86,89,91,92,93,94,96,97,98], RowPattern=Constant, ColumnPattern=Constant, %Missings=0, %Noise=0, %Errors=0, PlaidCoherency=Additive

X	y0	y1	y3	y4	y6	y10	y11	y14	y15	y17	y20	y21	y22	y25	y27	y29	y30	y32	y38	y39	y42	y43	y46	y47	y48	y50	y52	y54	y55	y56	y57	y59	y60	y61	y62	y63	y65	y69	y75	y78	y84	y86	y89	y91	y92	y93	y94	y96	y97	y98
x0	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99
x2	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99
x3	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99
x6	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99
x7	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99
x9	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99
x10	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99
x16	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99
x17	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99
x20	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99
x22	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99
x24	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99
x25	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99
x27	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99
x28	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99
x29	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99
x30	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	46.57	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99	-5.99
