Number of planted biclusters: 52
Bicluster coverage: 12.922558922558922%
Missing values on dataset: 0.0%
Noise values on dataset: 2.5016835016835017%
Errors on dataset: 0.7037037037037037%


Bicluster #0 (75, 4)
Rows=[12,25,34,52,59,71,74,83,88,91,92,96,106,112,116,122,125,132,133,138,169,211,214,215,224,236,240,245,247,253,259,260,271,283,291,295,299,305,328,333,338,346,357,359,388,400,413,414,417,422,431,432,448,450,460,466,476,492,506,507,510,513,534,573,577,578,579,593,594,602,611,618,626,628,645], Columns=[43,73,77,142], RowPattern=Constant, ColumnPattern=None, %Missings=0, %Noise=6.67, %Errors=6, PlaidCoherency=Additive

X	y43	y73	y77	y142
x12	8.04	-5.95	-11.54	-58.89
x25	8.04	-5.95	-11.54	0.87
x34	8.04	-5.95	-11.54	0.87
x52	8.04	-5.95	-11.54	0.87
x59	67.66	-5.95	-11.54	0.87
x71	8.04	-5.95	-11.54	0.87
x74	8.04	94.58	-11.54	0.87
x83	8.04	-5.95	-11.54	0.87
x88	8.04	-5.95	-11.54	0.87
x91	8.04	-5.95	-11.54	0.87
x92	8.04	-5.95	-11.54	0.87
x96	8.04	96.33	96.7	0.87
x106	8.04	-5.95	-11.54	0.87
x112	8.04	-5.95	-11.54	0.87
x116	8.04	-5.95	-11.54	-21.17
x122	8.04	-5.95	68.04	0.87
x125	-18.81	-19.94	-11.54	0.87
x132	8.04	-5.95	-11.54	-73.17
x133	8.04	-5.95	59.77	0.87
x138	8.04	-5.95	-11.54	-32.89
x169	8.04	-5.95	-11.54	0.87
x211	8.04	-5.95	-11.54	-94.39
x214	8.04	-5.95	-11.54	0.87
x215	-84.27	-5.95	-11.54	0.87
x224	8.04	-5.95	-11.54	0.87
x236	8.04	-17.31	-11.54	17.95
x240	8.04	-5.95	92.04	0.87
x245	8.04	-5.95	-11.54	0.87
x247	8.04	-5.95	-11.54	0.87
x253	8.04	-5.95	-11.54	0.87
x259	8.04	-5.95	-11.54	-96.33
x260	8.04	-5.95	-11.54	0.87
x271	8.04	-5.95	-11.54	0.87
x283	8.04	-5.95	-11.54	0.87
x291	8.04	-5.95	-11.54	0.87
x295	8.04	-5.95	-11.54	0.87
x299	-91.56	-5.95	-11.54	-46.96
x305	8.04	-5.95	-11.54	0.87
x328	8.04	-5.95	-11.54	0.87
x333	8.04	-5.95	-11.54	0.87
x338	8.04	-5.95	-11.54	67.74
x346	8.04	-5.95	-11.54	0.87
x357	8.04	-5.95	-11.54	0.87
x359	99.62	-5.95	-11.54	0.87
x388	8.04	-5.95	-11.54	0.87
x400	8.04	-5.95	-11.54	0.87
x413	8.04	-5.95	-11.54	0.87
x414	8.04	-5.95	-11.54	0.87
x417	37.35	-5.95	-11.54	0.87
x422	8.04	-5.95	-11.54	0.87
x431	8.04	-5.95	-11.54	0.87
x432	8.04	-5.95	-11.54	0.87
x448	8.04	-5.95	-11.54	0.87
x450	36.53	-5.95	92.13	0.87
x460	8.04	-5.95	-11.54	-11.89
x466	8.04	-5.95	-11.54	0.87
x476	8.04	-5.95	-11.54	0.87
x492	8.04	62.3	-11.54	0.87
x506	8.04	34.6	-11.54	0.87
x507	8.04	-5.95	-11.54	0.87
x510	8.04	-5.95	80.76	0.87
x513	8.04	86.29	-11.54	98.08
x534	8.04	-99.38	-11.54	81.44
x573	8.04	-5.95	-11.54	0.87
x577	-89.85	-5.95	-11.54	0.87
x578	8.04	-5.95	-11.54	0.87
x579	8.04	-5.95	-11.54	0.87
x593	8.04	-5.95	-11.54	0.87
x594	8.04	-5.95	-11.54	0.87
x602	8.04	-5.95	94.83	0.87
x611	8.04	-5.95	-11.54	0.87
x618	8.04	99.42	-11.54	-94.82
x626	8.04	-5.95	-11.54	0.87
x628	8.04	-5.95	-11.54	0.87
x645	8.04	-5.95	62.25	0.87

Bicluster #1 (70, 4)
Rows=[1,11,12,18,20,25,32,34,35,58,69,76,77,98,115,119,140,146,149,154,156,166,177,183,212,228,261,274,287,297,298,310,322,325,344,349,351,354,355,362,365,374,386,390,403,409,412,447,471,475,488,500,509,511,519,537,538,539,552,556,565,568,570,588,595,610,620,621,639,649], Columns=[4,44,84,136], RowPattern=Constant, ColumnPattern=None, %Missings=0, %Noise=7.86, %Errors=1.07, PlaidCoherency=Additive

X	y4	y44	y84	y136
x1	1.18	-0.37	6.65	-84.12
x11	1.18	-0.37	6.65	-8.67
x12	42.19	-0.37	6.65	-8.67
x18	1.18	-0.37	6.65	-8.67
x20	1.18	-0.37	6.65	-8.67
x25	1.18	-0.37	6.65	-8.67
x32	1.18	-0.37	6.65	-8.67
x34	1.18	-0.37	6.65	-8.67
x35	1.18	-0.37	6.65	-8.67
x58	1.18	-0.37	6.65	-12.33
x69	1.18	-0.37	6.65	-8.67
x76	1.18	-0.37	6.65	-8.67
x77	1.18	-0.37	6.65	43.92
x98	1.18	-0.37	6.65	-8.67
x115	1.18	-0.37	6.65	-8.67
x119	1.18	-0.37	6.65	-8.67
x140	1.18	-0.37	6.65	-8.67
x146	1.18	-0.37	6.65	-8.67
x149	1.18	-0.37	6.65	-8.67
x154	1.18	-0.37	6.65	-8.67
x156	1.18	-0.37	6.65	-8.67
x166	21.5	66.84	76.35	-8.67
x177	1.18	-0.37	6.65	-8.67
x183	1.18	-0.37	6.65	-8.67
x212	1.18	-0.37	6.65	-8.67
x228	1.18	-0.37	6.65	-8.67
x261	1.18	-0.37	6.65	-8.67
x274	1.18	-0.37	6.65	-8.67
x287	1.18	-0.37	6.65	-8.67
x297	1.18	-0.37	6.65	-8.67
x298	1.18	-0.37	6.65	-8.67
x310	99.81	53.45	6.65	-8.67
x322	1.18	-0.37	6.65	-8.67
x325	1.18	89.61	6.65	-8.67
x344	1.18	-0.37	6.65	-51.26
x349	1.18	-0.37	6.65	-8.67
x351	1.18	-0.37	6.65	-8.67
x354	-69.55	-97.96	6.65	-8.67
x355	1.18	-0.37	6.65	-8.67
x362	71.05	-0.37	6.65	-8.67
x365	1.18	-0.37	6.65	-8.67
x374	52.4	-0.37	6.65	68.16
x386	1.18	-0.37	6.65	79.45
x390	1.18	-0.37	6.65	-8.67
x403	1.18	-0.37	6.65	-8.67
x409	1.18	-0.37	6.65	-8.67
x412	1.18	-0.37	6.65	-8.67
x447	1.18	-0.37	6.65	-8.67
x471	1.18	-0.37	-43.27	-8.67
x475	1.18	-0.37	6.65	-8.67
x488	1.18	-0.37	27.63	-8.67
x500	1.18	-0.37	43.16	-8.67
x509	1.18	-0.37	6.65	-8.67
x511	1.18	-0.37	6.65	-8.67
x519	1.18	-0.37	6.65	-8.67
x537	1.18	-0.37	6.65	-8.67
x538	1.18	-93.86	4.03	-8.67
x539	1.18	-0.37	6.65	-8.67
x552	1.18	-0.37	6.65	-8.67
x556	1.18	-0.37	6.65	-8.67
x565	1.18	-0.37	6.65	-8.67
x568	1.18	-0.37	6.65	-8.67
x570	1.18	37.18	6.65	76.84
x588	1.18	-0.37	6.65	-8.67
x595	1.18	-0.37	6.65	-8.67
