X	y0	y1	y2	y3	y4	y5	y6	y7	y8	y9	y10	y11	y12	y13	y14	y15	y16	y17	y18	y19	y20	y21	y22	y23	y24	y25	y26	y27	y28	y29	y30	y31	y32	y33	y34	y35	y36	y37	y38	y39	y40	y41	y42	y43	y44	y45	y46	y47	y48	y49	y50	y51	y52	y53	y54	y55	y56	y57	y58	y59	y60	y61	y62	y63	y64	y65	y66	y67	y68	y69	y70	y71	y72	y73	y74	y75	y76	y77	y78	y79	y80	y81	y82	y83	y84	y85	y86	y87	y88	y89	y90	y91	y92	y93	y94	y95	y96	y97	y98	y99	y100	y101	y102	y103	y104	y105	y106	y107	y108	y109	y110	y111	y112	y113	y114	y115	y116	y117	y118	y119	y120	y121	y122	y123	y124	y125	y126	y127	y128	y129	y130	y131	y132	y133	y134	y135	y136	y137	y138	y139	y140	y141	y142	y143	y144	y145	y146	y147	y148	y149	y150	y151	y152	y153	y154	y155	y156	y157	y158	y159	y160	y161	y162	y163	y164	y165	y166	y167	y168	y169	y170	y171	y172	y173	y174	y175	y176	y177	y178	y179
x0	-16.06	-15.96	0.62	32.16	28.04	3.76	-85.94	-96.36	7.55	-34.2	25.28	20.92	-16.95	-2.55	5.32	-46.44	9.26	-58.93	-21.43	-87.15	20.75	-40.55	33.79	-30.29	42.19	100	-17.44	-67.12	-34.72	57.09	-15.34	13.95	42.18	-12.44	11.48	31.01	10.03	48.77	-52.1	67.76	10.42	-18.76	-28.37	46.78	13.19	4.64	-33.64	-61.39	-59.36	49.43	20.42	-12.84	59.89	-100	-64.96	-51.61	-85.66	-47.94	-28.31	31.66	-2.21	23.84	-16.11	-87.79	64.82	41.18	-15.89	-7.3	-22.23	-25.43	26.63	-17.93	39.18	62.41	29.54	-61.32	60.79	7.59	-51.24	-41.08	19.43	-17.05	28.18	-9.84	29.69	19.21	35.42	20.33	-89.2	-2.9	-78.48	-33.62	8.67	2.49	58.4	-35.78	-43.18	29.98	-97.5	-24.3	-22.03	-100	27.99	44.52	-63.05	35.84	58.79	6.48	-35.2	22.44	7.95	3.39	54.84	-19.41	-17.42	31.85	-2.24	66.64	-100	39.8	-9.18	-26.27	-5.36	-54.64	-4.38	-10.6	62.89	30.53	-99.29	19.23	5.53	-2	-7.39	60.55	-22.54	1.77	-20.97	29	-13.05	-89.8	25.93	15.32	-35.47	58.42	-52.92	3.42	43.19	-54.14	59.18	-10.82	45.82	57.61	-38.46	-26.84	48.49	-62.39	-12.31	42.22	-0.92	8.84	13.55	11.74	55.84	26.8	-23.13	-25.43	23.69	55.08	-5.53	60.18	-32.38	75.48	-38.89	-77.48	-6.89	-88.8	56.02	-12.01	76.03	24.92
x1	16.91	-12.72	-23.3	-57.88	1.18	-44.27	-25.84	0.53	18.64	-34.2	-60.88	50.77	6.67	28.64	-17.02	3.46	65.9	47.04	41.6	-5.36	-32.76	-4.5	10.46	64.5	-11.97	-27.97	-14.54	-4.47	50.08	6.92	-3.15	20.12	-37.21	38.32	-93.98	27.99	-42.12	-26.89	-0.34	-45.59	-57.59	-55.46	71.99	-53.53	-0.37	59.08	-2.52	23.89	27.04	-0.31	-62.89	-57.17	-37.43	-47.93	23.5	-48.88	34.69	23.38	13.15	-32.74	42.53	-35.84	28.1	-19.56	44.02	33.29	-21.89	-85.08	-34.41	-53.92	16.83	-28.69	38.08	12.5	6.61	-67.52	-59.38	-60.6	-5.76	-100	-6.65	34.34	39.41	-40.77	6.65	1.8	41.3	18.4	-5.23	-37.82	-44.59	23.48	98.34	-6.03	50.56	-44.6	-32.77	-76.38	-53.99	4.16	-22.03	8.77	-74.77	84	-2.42	-32.07	-25.71	25.39	-48.31	12.29	67.14	7.2	-3.27	3.31	5.54	-64.06	6.48	84.7	-94.2	31.43	-77.24	39.56	50.5	73.51	0.64	42.65	67.87	30.53	84.97	-4.97	-52.5	36.99	19.57	20.03	34.53	25.41	-84.12	-6.88	-8.95	-89.8	-11.81	-14.87	34.96	19.12	21.79	3.42	100	-9.78	41.24	-6.39	18.39	-46.87	52.91	69.61	14.02	-42.51	-42.8	-28.41	8.56	36.35	52.45	-15.27	-16.91	33.52	-16.24	6.59	43.49	92.24	31.89	85.12	37.55	-2.15	-23.55	-19.52	-9.09	6.06	39.92	73.79	51.07	13.1
x2	-88.98	-67.55	18.9	21.58	56.62	9.11	-42.63	-40.76	-21.59	18.3	17.74	-19.7	-25.9	-29.04	-83.9	-17.7	48.87	-68.49	-48.89	-7.31	-18.42	-62.39	2.75	-22.9	-78.74	28.98	24.88	-23.97	29.64	-13.2	42.78	4.91	45.6	74.71	-50.34	-22.35	-10.27	34.12	-46.69	-37.53	53.43	-74.1	-4.68	-26.49	-29.01	13.09	6.41	-30.31	-35.1	-12.94	2.36	-11.28	-37.43	37.03	7.1	0.52	18.48	6.28	-14.15	97.48	-38.41	28.9	-77.95	-87.79	93.55	23.61	-7.82	34.49	81.07	77.16	-48.83	-36.58	70.14	12.76	91.58	1.34	15.22	89.28	23.57	-55.14	-33.17	-12.32	-1.46	33.05	-33.65	18.47	-41.2	-42.64	18.48	49.29	-5.51	-0.99	-51.48	57.81	17.45	9.85	-37.81	-76.38	29.83	-16.05	-61.43	78.4	-14.86	13.44	29.54	-24.74	22.83	-49.18	-87.01	12.29	22.64	22.28	28.21	-19.95	-8.78	49.03	-2.24	26.67	11.37	-18.33	40.1	-42.54	42.82	-48.04	27.89	-11.27	-9.38	29.08	-21.22	-51.66	-55.28	4.05	64.23	-19.2	42.86	-4.28	-64.16	-1.61	60.33	-7.78	-15.4	27.61	4.68	11.4	-8.3	0.89	-72.07	35.66	59.18	51.45	77.29	30.94	-60.52	10.21	16.27	-53.95	-51.5	48.24	22.58	-20.28	-60.66	-88.91	81.56	-45.2	20.62	22.9	-17.01	-90.34	-24.03	100	2.3	-18.51	-16.83	15.55	-59.12	-11.64	-44.94	-2.62	-2.43	3.97
x3	-24.85	-54.17	18.51	60.74	21.1	-44.27	51.21	36.01	14.24	-59.44	17.74	38.28	17.33	10.48	-40.91	70.01	37.65	52.74	14.18	-11.21	-38.69	-23.02	61.63	-48.77	-29.86	15.81	-30.1	65.28	0.18	-10.75	-11.36	3.63	48.78	-77.06	12.87	-8.93	0.9	-14.93	-100	4.07	47.73	75.2	-22.06	-34.62	-43.31	36.69	38.48	5.68	-0.95	37.57	10.72	6.84	9.24	87.9	-15.8	-60.27	6.51	-16.92	-3.23	17.88	-39.71	-11.91	-31.77	77.14	-20.21	-11.17	-21.89	5.51	-21.51	-0.48	48.76	-26.99	-59.06	-13.58	-49.68	-3.65	28.92	-12.19	-13.51	-34.53	-43.12	-16.41	-52.26	-5.82	31.76	8.27	-12.34	48.88	100	-6.02	-8.21	-0.93	-52.47	-48.23	16.13	24.79	-15.13	-73.82	35.86	21.38	-61.43	16.63	6.72	52.62	74.84	-16.13	22.93	28.74	-87.26	72.53	91.31	10.57	64.04	11.42	-11.79	-14.35	-57.18	-3.61	19.99	42.75	4.05	5.17	-12.29	-22.89	31.78	-27.23	38.34	37.19	3.61	-51.34	-8.89	-39.59	24.79	-5.68	34.53	39.13	-5.86	47.09	-76.24	48.01	82.67	-1.36	19.71	75.34	46.25	13.21	-37.34	-57.8	40.13	3	-5.22	34.05	-13.64	93.05	-26.94	-92.95	2.52	-22.85	45.49	21.9	21.96	-75.59	-23.14	74.86	-52.65	-24.14	-100	62.57	-17.83	-38.5	14.59	37.64	12.49	-6.32	-4.04	100	18.07	-46.52	29.88	10.46
x4	68.72	-66.55	-8.63	33.38	-3	44.18	11.77	-52.77	-64.37	-40.46	-14.1	17.49	7.62	-3.51	-19.02	26.46	-10.7	22.44	-6.88	31.45	57.06	-53.04	-2.51	-78.73	13.03	-40.02	-8.34	11.31	69.43	-12.65	30.09	17.65	9.74	-29.69	52.98	-15.58	-71.15	-93.85	-8.43	8.95	-47.52	48.38	-31.9	74.79	15.16	1.73	26.27	-93.32	-60.43	-24.91	59.75	-16.62	-57.92	-95.06	9.94	2.62	-22.02	18.13	-14.76	-0.33	42.53	24.61	88.78	24.34	-19.13	23.04	-82.98	-85.08	54.24	68.21	-79.54	14.48	35.55	14.06	51.42	0.77	-100	57.1	50.29	16.26	43.14	-29.41	26.97	-11.15	54.27	72.19	-32.8	68.09	-5.23	-14.85	40.54	-9.64	-34.49	13	-18.93	-28.71	-38.33	-54.59	31.09	3	7.72	29.46	-0.88	63.98	49.09	11.58	27.46	-6.49	1.2	28.92	36.05	33.74	-100	3.31	-0.07	-20.33	-47.01	12.18	1	30.19	28.33	-50.6	-88.2	6.12	2.72	-20.74	14.21	-84.21	-35.44	24.67	-2.29	-5.03	-32.86	-59.44	-3.65	15.3	-2.29	-23.57	-14.7	-89.8	13.21	-72.95	-75.42	-27.04	23.52	10.96	-13.11	32.45	14.35	-14	-25.16	56.75	100	18.16	-11.9	29.68	-27.69	62.25	-24.35	-10.95	-35.34	2.16	49.45	-48.58	-12.03	31.32	-17.68	-26.92	-12.85	26.95	23.18	64.59	48.75	-29.05	23.33	-51.87	7.42	-25	37.7	28.69
x5	25.69	-38.3	76.49	14.85	11.05	17.68	-36.81	20.16	-39.47	-34.2	-2.52	38.43	13.83	11.79	19.36	-3.9	-50.55	-68.49	-6.88	36.75	-27.15	32.13	-22.92	31.92	100	-23.89	40.91	-23.85	-69.07	46.04	4.7	51.8	-17.89	15.95	-75.9	27.99	-44.14	-13.25	0.22	5.08	-7.4	-15.46	-22.58	-55.51	2.68	59.08	-11.52	-99.5	-24.46	-8.29	-42.4	46.65	-37.43	-95.06	4.18	-65.21	-48.06	-65.88	-34.77	-68.85	18.05	-66.9	28.02	-27.72	43.19	76.62	-32.87	-28.8	16.57	-54.28	74.25	-21.66	-18.15	17.75	-16.56	27.02	94.64	57.51	-38.75	-44.64	-79.07	89.36	-49.03	-23.97	-35.83	9.54	82.59	-40.12	-59.87	-35.3	95.09	24.21	98.34	2.49	-11.12	33.04	17.92	-76.38	32.41	-25.62	-22.03	-26.44	-13.51	-26.67	95.22	35.84	-37.32	-56.99	46.92	12.29	71.98	-0.96	-49.21	-75.09	30.45	-19.5	4.09	-18.21	23.24	33.65	-1.11	-52.98	-36.52	27.27	14.11	-31.12	58.31	30.53	-99.29	97.32	-35.1	-8.83	41.94	17.56	-28	4.43	82.32	18.81	45.28	-100	52.86	-26.15	13.52	-83.78	30.21	3.42	42.26	-15.23	-29.01	-100	30.3	-0.88	-41.78	-73.87	14.02	4.98	21.1	68.71	43.23	9.65	-97.72	-88.91	-24.33	83.7	-50.79	40.9	28.58	-74.06	19.73	-4.46	-7.74	52.8	37.31	13.82	-13.73	-44.5	19.94	30.46	11.83	-11.16
x6	56.11	27.94	15.66	-11.2	-41.96	-72.9	-25.05	-16.62	-16.95	-60.09	11.46	-1.16	7.47	57.66	-11.23	-89.58	-6.37	-65.33	-40.33	-23.58	-25.34	-19.26	100	-38.09	-8.35	47.25	-54.34	-13.99	44.76	12.4	30.44	-11.57	-37.21	-61.56	-5.77	-34.17	-7.97	100	66	-51.97	-32.86	-25.23	-18.59	5.76	49.65	-28.82	-15.88	27.74	-78.19	53.28	23.21	-23.81	-54.81	31.63	0.73	25.91	25.65	-81.14	-85.75	13.82	36.28	-23.88	67.83	32.39	-90.8	8.34	-3.76	-41.5	-42.8	-29.2	-27.38	0.9	28.77	100	-26.2	-58.54	12.37	24.65	-5.68	94.01	-8.91	24.07	-95.05	-52.63	-12.94	5.56	28.53	-11.63	-9.15	-33.96	-47.43	-54.27	10.39	8.69	-29.77	-12.08	-2.82	-10.19	-50.65	-70.67	20.86	55.29	6.78	-4.73	53.28	-51	56.69	45.19	-33.4	-31.5	13.27	-21.84	0.59	-22.29	34.51	-1.53	6.92	55.73	-42.35	-56.53	-16.19	20.48	-27.38	0.15	0.64	-23.51	87.27	2.02	-32.39	-14.31	9.83	59.4	66.45	75.74	-100	18.35	-0.35	-100	-34.62	29.41	-59.89	-9.29	43.06	-28.5	-17.53	44.39	31.72	-31.92	-10.15	-87.18	-13.97	-47.24	-15.79	-4.5	-25.27	7.07	-0.01	-28.91	18.4	5.31	21.27	-9.9	-16.91	-3.61	8.93	-69.4	-93.12	17.32	-2.17	17.85	18.52	-2.15	-73.14	29.25	97.19	-30.52	-19.64	31.5	3.53	-16.45
x7	-92.22	-65.67	95.27	-57.94	-1.11	49.31	31.31	-1.25	12.53	-8.01	-27.3	-14.28	30.62	-17.48	21.17	-47.92	-73.6	76.58	-23.97	17.1	-17.86	30.75	84.38	-70.1	61.55	86.75	-61.53	-18.65	79.16	62.94	-5.29	38.45	21.62	5.37	-100	-75.05	82.25	-4.88	4.2	46.23	-30.54	63.38	7.88	33.16	-9.94	59.08	42.87	-16.43	-20.67	-42.43	25.51	19.14	24.57	-10.91	70.66	-36.76	-32.52	0.65	-42.19	2.05	3.2	23.84	-37.89	8.77	1.13	14.33	13.91	77.16	4.72	-53.92	9.62	30.55	59.49	-14.26	27.87	-37.19	-17.74	-36.95	-37.28	16.66	-2.96	32	-52.26	-31.8	-9.48	-25.84	-87.31	-15.27	-1.11	-6.95	55.48	47.84	100	5.43	18.52	-15.12	-28.1	11.17	58.73	-30.82	4.35	-29.23	-28.13	-19.65	-36.78	16.43	-32.69	26.97	-22.91	53.64	93.26	-41.67	3.79	79.62	-70.3	53.07	-7.54	66.64	-42.35	42.75	-100	-34.58	-48.02	-73.71	0.64	26.27	-69.71	4.98	-18.95	20.16	53.78	-61.86	-56.18	-58.94	44.43	-21.57	48.06	-0.47	-53.46	-20.24	21.44	31.13	-26.74	1.26	23.43	14.01	4.71	-43.61	-18.06	1.63	-3.22	12.05	-15.5	20.84	14.02	0.51	-54.15	-39.58	69.73	-100	-3.51	-63.53	-16.91	-35.97	100	-6.21	-100	44.4	-32.14	-19.2	9.42	-2.15	-11.31	16.85	17.67	-50.15	27.89	-7.29	37.12	-10.54
x8	25.06	-5.58	12.67	-69.39	-2.98	-6.44	-20	-25.97	12.35	-34.2	6.58	-0.54	63.25	71.87	-83.32	-8.33	-17.91	30.68	87.88	-47.12	-73.02	53.39	-6.09	19.81	-9.79	45.6	-34.2	-81.07	-54.44	-18.55	-62.54	-6.31	22.74	-5.27	55.94	-15.74	44.33	-8.54	-23.15	2.57	20.42	5.19	-34.58	63.44	-21.21	11.02	9.56	34.9	-94.32	31.24	-8.62	50.42	-37.43	-100	19.76	14.15	39.68	-5.56	-66.68	-25.32	42.53	100	33.08	-11.04	-18.12	-11.33	6.54	-8.02	9.02	93.7	19.15	-23.49	-43.84	8.87	13.25	16.69	22.99	43.11	-13.03	26.8	46.34	41.04	-52.26	24.66	43.48	-32.35	7.13	-2.98	-35.84	12.97	22.1	-62.1	10.09	17.24	-21.4	0.86	-40.48	-76.38	10.44	-100	-22.03	-1.23	-41.71	48.96	-14.24	-20.62	-17.07	-32.31	-60.3	-90.95	13.27	11.94	91.81	-18.58	36.56	70.19	19.96	-1.89	-12.57	42.75	-6.99	-43.49	-49.82	66.04	18.28	16.68	87.27	30.53	33	9.51	9.83	59.4	-43.67	9.62	21.2	-65.19	8.01	12.93	-25.65	-41.83	39.8	58.73	-8.02	-66.42	23.04	3.42	44.66	-5	-41.57	-2.53	2.92	-29.04	-38.16	20.42	70.87	-9.54	38.54	23.87	-0.27	-38.99	6.37	-35.11	57.32	49.48	76.94	-3.28	-100	92.24	31.1	-5.01	18.52	6.21	-84.75	8.37	-40.82	-6.98	-0.77	-60.52	-78.67	15.2
x9	-29.36	5.89	-38.04	27.17	3.41	49.46	-62.75	35.96	100	-43.32	4.32	-85.55	-49.56	1.57	14.16	-18.86	-73.6	43.47	21.95	-3.28	-56.34	-63.11	42.23	-70.1	15.44	-65.16	-63.25	-8.37	1.22	-36.77	9.3	3.72	62.26	-42.9	-10.86	80.46	44.33	-3.23	89.06	-48.95	5.51	-63.49	5.15	-45.77	66.92	12.9	53.28	-0.61	8.34	18.69	-98.37	9.24	-13.8	-29.05	-8.41	-6.42	-48.06	22.27	51.88	-49.78	-13.18	-7.89	-56.41	-21.25	40.63	-30.96	63.92	-29.3	26.04	-40.94	-20.93	-34.25	56.61	-45.72	37.09	46.51	31.38	-22.43	45.25	-14.73	-61.05	-29.54	55.48	-15.15	-19.7	-34.88	-93.87	86.77	39.65	12.97	-34.89	27.86	23.13	2.49	55.03	79.62	-86.4	23.69	13.84	67.86	-26.24	70.9	28.49	51.9	-22.1	59.09	-55.22	-25.72	24.28	60.68	-27.8	-47.15	-72.01	21.15	-14.01	19.16	-9.63	31.7	-1.17	-23.41	13.47	-18.45	-19.51	6.02	39.33	42.96	84.76	-60.06	-99.29	-51.81	-4.28	-1.39	-16.8	-79.65	-11.06	-14.18	-23.36	-53.52	19.76	-11.57	-100	-29.77	8.46	40.03	-36.51	23.32	-53.08	-3.01	18.24	-50.28	-45.71	12.3	25.11	22.75	-49.17	-61.86	-19.61	38.35	3.41	-30.33	47.96	-22.89	-56.75	5.84	-54.36	-76.99	10.56	11.75	31.1	-94.62	-11.05	-60.29	-84.75	-15.54	12.16	-43.94	-50.92	33.38	-56.1	-54.9
